Species,Species ID,Accepted,Class,Order,Family,Mass,Mass imputed
Alytes cisternasii,A1,Alytes cisternasii,Amphibia,Anura,Alytidae,5.02,FALSE
Alytes dickhilleni,A2,Alytes dickhilleni,Amphibia,Anura,Alytidae,11.074764797053678,TRUE
Alytes muletensis,A3,Alytes muletensis,Amphibia,Anura,Alytidae,2.31,FALSE
Alytes obstetricans,A4,Alytes obstetricans,Amphibia,Anura,Alytidae,11.7,FALSE
Bombina bombina,A5,Bombina bombina,Amphibia,Anura,Bombinatoridae,3.07,FALSE
Bombina pachypus,A6,Bombina pachypus,Amphibia,Anura,Bombinatoridae,290.5349173114532,TRUE
Bombina variegata,A7,Bombina variegata,Amphibia,Anura,Bombinatoridae,6.32,FALSE
Bufo bufo,A8,Bufo bufo,Amphibia,Anura,Bufonidae,76.54,FALSE
Epidalea calamita,A9,Epidalea calamita,Amphibia,Anura,Bufonidae,50.22,FALSE
Bufo verrucosissimus,A10,Bufo verrucosissimus,Amphibia,Anura,Bufonidae,32.031834602712244,TRUE
Bufotes viridis,A11,Bufotes viridis,Amphibia,Anura,Bufonidae,33.18,FALSE
Chioglossa lusitanica,A12,Chioglossa lusitanica,Amphibia,Caudata,Salamandridae,2,FALSE
Discoglossus galganoi,A13,Discoglossus galganoi,Amphibia,Anura,Alytidae,18.5,FALSE
Discoglossus jeanneae,A14,Discoglossus jeanneae,Amphibia,Anura,Alytidae,4.030200114282673,TRUE
Discoglossus montalentii,A15,Discoglossus montalentii,Amphibia,Anura,Alytidae,1760.0084103934519,TRUE
Discoglossus pictus,A16,Discoglossus pictus,Amphibia,Anura,Alytidae,15.85,FALSE
Discoglossus sardus,A17,Discoglossus sardus,Amphibia,Anura,Alytidae,20.806564740786005,TRUE
Calotriton asper,A18,Calotriton asper,Amphibia,Caudata,Salamandridae,6.62,FALSE
Euproctus montanus,A19,Euproctus montanus,Amphibia,Caudata,Salamandridae,2.5,FALSE
Euproctus platycephalus,A20,Euproctus platycephalus,Amphibia,Caudata,Salamandridae,4,FALSE
Hyla arborea,A21,Hyla arborea,Amphibia,Anura,Hylidae,6.04,FALSE
Hyla intermedia,A22,Hyla intermedia,Amphibia,Anura,Hylidae,6.28,FALSE
Hyla meridionalis,A23,Hyla meridionalis,Amphibia,Anura,Hylidae,3.11,FALSE
Hyla sarda,A24,Hyla sarda,Amphibia,Anura,Hylidae,3.18,FALSE
Hyla savignyi,A25,Hyla savignyi,Amphibia,Anura,Hylidae,28.69184915841076,TRUE
Lyciasalamandra antalyana,A26,Lyciasalamandra antalyana,Amphibia,Caudata,Salamandridae,15.286146733158322,TRUE
Lyciasalamandra atifi,A27,Lyciasalamandra atifi,Amphibia,Caudata,Salamandridae,17.714418378201252,TRUE
Lyciasalamandra billae,A28,Lyciasalamandra billae,Amphibia,Caudata,Salamandridae,68.27070841925946,TRUE
Lyciasalamandra fazilae,A29,Lyciasalamandra fazilae,Amphibia,Caudata,Salamandridae,32.232293653668144,TRUE
Lyciasalamandra flavimembris,A30,Lyciasalamandra flavimembris,Amphibia,Caudata,Salamandridae,608.5363764055181,TRUE
Lyciasalamandra helverseni,A31,Lyciasalamandra helverseni,Amphibia,Caudata,Salamandridae,587.6125427171688,TRUE
Lyciasalamandra luschani,A32,Lyciasalamandra luschani,Amphibia,Caudata,Salamandridae,2,FALSE
Mertensiella caucasica,A33,Mertensiella caucasica,Amphibia,Caudata,Salamandridae,169.2330321659607,TRUE
Neurergus crocatus,A34,Neurergus crocatus,Amphibia,Caudata,Salamandridae,4.914864516066319,TRUE
